gene,tpm
S100A13,6.008
S100A1,0.4974
CHTOP,39.67
SNAPIN,38.82
ILF2,227.9
NPR1,0.7995
INTS3,60.97
SLC27A3,4.96
GATAD2B,31.93
DENND4B,61.21
CRTC2,99.7
SLC39A1,78.96
CREB3L4,17.15
JTB,226.6
RAB13,16.73
RPS27,3845.0
NUP210L,0.04646
TPM3,154.4
C1orf43,177.5
UBAP2L,76.65
HAX1,159.6
AQP10,0.02984
ATP8B2,9.247
IL6R,5.045
SHE,2.891
TDRD10,1.087
UBE2Q1,58.26
CHRNB2,0.1964
ADAR,320.5
KCNN3,1.373
PMVK,74.17
PBXIP1,73.67
PYGO2,52.16
SHC1,28.67
CKS1B,65.62
FLAD1,21.46
LENEP,0.2811
ZBTB7B,27.57
DCST2,0.3844
DCST1,0.05904
ADAM15,14.13
EFNA4,8.99
EFNA3,3.977
EFNA1,4.58
SLC50A1,84.82
DPM3,24.3
KRTCAP2,26.65
TRIM46,2.248
MUC1,0.688
THBS3,6.016
MTX1,21.97
GBAP1,4.02
FAM189B,28.15
SCAMP3,81.45
CLK2,75.37
HCN3,2.512
PKLR,0.0
FDPS,176.8
RUSC1-AS1,34.17
RUSC1,9.682
ASH1L,25.04
POU5F1P4,0.0
ASH1L-AS1,7.444
MSTO1,14.19
YY1AP1,52.66
DAP3,83.77
GON4L,17.51
SYT11,14.71
RIT1,25.49
ARHGEF2,43.94
SSR2,229.4
UBQLN4,28.37
LAMTOR2,39.81
RAB25,0.2818
MEX3A,3.552
LMNA,28.67
SEMA4A,31.87
SLC25A44,13.61
PMF1,56.29
PAQR6,7.743
SMG5,78.96
TMEM79,10.79
GLMP,17.89
TSACC,1.84
RHBG,0.06193
MEF2D,35.8
IQGAP3,11.97
NAXE,45.72
GPATCH4,49.17
HAPLN2,0.2747
BCAN,0.5538
NES,0.1231
CRABP2,0.4974
ISG20L2,26.83
MRPL24,64.44
HDGF,139.2
PRCC,71.7
SH2D2A,21.18
NTRK1,0.1346
INSRR,0.01363
PEAR1,0.05416
LRRC71,0.05199
ARHGEF11,0.7413
ETV3,12.47
FCRL5,11.69
FCRL4,0.4413
FCRL3,2.75
FCRL2,0.0
FCRL1,0.03476
CD5L,0.1671
CD1D,0.0
CD1A,0.0
CD1C,0.0
CD1B,0.09806
CD1E,0.0
SPTA1,0.0
MNDA,6.212
PYHIN1,0.3932
IFI16,255.9
AIM2,11.3
CADM3,0.6187
CADM3-AS1,0.09
ACKR1,1.369
FCER1A,0.05871
OR10J1,0.0
APCS,0.0
CRP,0.0
DUSP23,11.52
SLAMF8,3.717
CFAP45,2.492
TAGLN2,595.7
IGSF9,0.06192
SLAMF9,0.4142
LINC01133,0.0
KCNJ10,0.09362
PIGM,9.407
KCNJ9,0.0328
IGSF8,17.07
ATP1A2,0.2344
ATP1A4,0.01453
CASQ1,0.8159
PEA15,111.1
DCAF8,82.14
PEX19,39.76
COPA,152.9
NCSTN,59.02
NHLH1,0.5871
VANGL2,0.9478
SLAMF6,137.8
CD84,27.45
SLAMF1,197.5
CD48,776.3
SLAMF7,359.4
LY9,59.2
CD244,3.04
ITLN1,0.1845
F11R,98.65
TSTD1,188.1
USF1,46.31
ARHGAP30,107.7
NECTIN4,0.1367
KLHDC9,1.853
PFDN2,177.7
NIT1,28.88
DEDD,27.76
UFC1,86.91
USP21,27.79
PPOX,18.53
B4GALT3,34.27
ADAMTS4,0.1522
NDUFS2,94.11
FCER1G,12.56
APOA2,0.0
TOMM40L,9.671
NR1I3,0.1739
