idx	gene_symbol
1371	CADM3
1372	CADM4
1373	CADPS
1374	CADPS2
1375	CALB2
1376	CALCA
1377	CALCOCO1
1378	CALCOCO2
1379	CALCRL
1380	CALD1
1381	CALHM1
1382	CALHM2
1383	CALM1
1384	CALML4
1385	CALN1
1386	CALR
1387	CALU
1388	CAMK1
1389	CAMK1D
1390	CAMK1G
1391	CAMK2A
1392	CAMK2B
1393	CAMK2D
1394	CAMK2G
1395	CAMK2N1
1396	CAMK4
1397	CAMKK1
1398	CAMKK2
1399	CAMKMT
1400	CAMLG
1401	CAMP
1402	CAMSAP1
1403	CAMSAP2
1404	CAMTA1
1405	CAMTA2
1406	CAND1
1407	CAND2
1408	CANT1
1409	CANX
1410	CAP1
1411	CAP2
1412	CAPG
1413	CAPN1
1414	CAPN10
1415	CAPN11
1416	CAPN12
1417	CAPN15
1418	CAPN2
1419	CAPN3
1420	CAPN5
1421	CAPN7
1422	CAPNS1
1423	CAPRIN1
1424	CAPRIN2
1425	CAPS
1426	CAPZA1
1427	CAPZA2
1428	CAPZB
1429	CARD10
1430	CARD11
1431	CARD14
1432	CARD6
1433	CARD8
1434	CARF
1435	CARHSP1
1436	CARM1
1437	CARMIL1
1438	CARNS1
1439	CARS2
1440	CARTPT
1441	CASC2
1442	CASD1
1443	CASK
1444	CASKIN2
1445	CASP1
1446	CASP10
1447	CASP2
1448	CASP3
1449	CASP4
1450	CASP5
1451	CASP6
1452	CASP7
1453	CASP8
1454	CASP9
1455	CASQ1
1456	CASQ2
1457	CASS4
1458	CAST
1459	CASZ1
1460	CAT
1461	CATSPER1
1462	CATSPERG
1463	CAV1
1464	CAV2
1465	CBFA2T2
1466	CBFA2T3
1467	CBFB
1468	CBL
1469	CBLB
1470	CBLL1
1471	CBLN3
1472	CBR1
1473	CBR3
1474	CBR4
1475	CBS
1476	CBX1
1477	CBX2
1478	CBX3
1479	CBX3P2
1480	CBX4
1481	CBX5
1482	CBX6
1483	CBX7
1484	CBX8
1485	CBY1
1486	CC2D1A
1487	CC2D1B
1488	CCAR1
1489	CCBE1
1490	CCDC102A
1491	CCDC102B
1492	CCDC106
1493	CCDC112
1494	CCDC115
1495	CCDC116
1496	CCDC117
1497	CCDC12
1498	CCDC120
1499	CCDC121
1500	CCDC122
1501	CCDC124
1502	CCDC125
1503	CCDC126
1504	CCDC127
1505	CCDC13
1506	CCDC134
1507	CCDC136
1508	CCDC137
1509	CCDC138
1510	CCDC14
1511	CCDC140
1512	CCDC144A
1513	CCDC146
1514	CCDC149
1515	CCDC15
1516	CCDC150
1517	CCDC17
1518	CCDC170
1519	CCDC174
1520	CCDC18
1521	CCDC181
1522	CCDC22
1523	CCDC24
1524	CCDC25
1525	CCDC27
1526	CCDC28A
1527	CCDC28B
1528	CCDC30
1529	CCDC33
1530	CCDC34
1531	CCDC43
1532	CCDC47
1533	CCDC50
1534	CCDC51
1535	CCDC57
1536	CCDC59
1537	CCDC6
1538	CCDC60
1539	CCDC62
1540	CCDC65
1541	CCDC68
1542	CCDC69
1543	CCDC71
1544	CCDC77
1545	CCDC81
1546	CCDC85B
1547	CCDC86
1548	CCDC88A
1549	CCDC88B
1550	CCDC88C
1551	CCDC89
1552	CCDC9
1553	CCDC90B
1554	CCDC91
1555	CCDC92
1556	CCDC93
1557	CCDC96
1558	CCDC97
1559	CCL19
1560	CCL2
1561	CCL22
1562	CCL23
1563	CCL28
1564	CCL5
1565	CCL8
1566	CCM2
1567	CCNA1
1568	CCNA2
1569	CCNB1
1570	CCNB1IP1
1571	CCNB2
1572	CCNC
1573	CCND1
1574	CCND2
1575	CCND3
1576	CCNDBP1
1577	CCNE1
1578	CCNE2
1579	CCNF
1580	CCNG1
1581	CCNG2
1582	CCNH
1583	CCNI
1584	CCNJ
1585	CCNJL
1586	CCNK
1587	CCNL1
1588	CCNL2
1589	CCNO
1590	CCNT1
1591	CCNT2
1592	CCNY
1593	CCNYL1
1594	CCP110
1595	CCPG1
1596	CCR1
1597	CCR10
1598	CCR2
1599	CCR3
1600	CCR4
1601	CCR5
1602	CCR6
1603	CCR7
1604	CCR9
1605	CCRL2
1606	CCS
1607	CCSAP
1608	CCSER2
1609	CCT2
1610	CCT4
1611	CCT5
1612	CCT6A
1613	CCT6B
1614	CCT7
1615	CCT8
1616	CD101
1617	CD14
1618	CD151
1619	CD160
1620	CD163
1621	CD164
1622	CD180
1623	CD19
1624	CD1A
1625	CD1B
1626	CD1C
1627	CD1D
1628	CD1E
1629	CD2
1630	CD200
1631	CD200R1
1632	CD209
1633	CD22
1634	CD226
1635	CD24
1636	CD244
1637	CD247
1638	CD248
1639	CD27
1640	CD274
1641	CD276
1642	CD28
1643	CD2AP
1644	CD2BP2
1645	CD300A
1646	CD300C
1647	CD300LB
1648	CD300LF
1649	CD300LG
1650	CD320
1651	CD33
1652	CD34
1653	CD36
1654	CD37
1655	CD38
1656	CD3D
1657	CD3E
1658	CD3G
1659	CD4
1660	CD40
1661	CD40LG
1662	CD44
